uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
mi/vastai/multi-pass/gpt2_to_gpt2/20251127_032925_gpt2_to_gpt2.meta.json,external_record,464,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\gpt2_to_gpt2\20251127_032925_gpt2_to_gpt2.meta.json,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/gpt2_to_gpt2/multi_pass_20251127_032841_gpt2_to_gpt2.json,export,17498837,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\gpt2_to_gpt2\multi_pass_20251127_032841_gpt2_to_gpt2.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/gpt2_to_gpt2/multi_pass_20251127_032925_gpt2_to_gpt2.json,export,17498837,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\gpt2_to_gpt2\multi_pass_20251127_032925_gpt2_to_gpt2.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct/20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.meta.json,external_record,499,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.meta.json,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct/multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.json,export,37821587,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct/multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct_activations.json,export,29780959,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct_activations.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct/multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct_logits.json,export,37069054,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct_logits.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct/20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.meta.json,external_record,499,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.meta.json,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct/multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.json,export,37956731,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct/multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct_activations.json,export,29864306,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct_activations.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/multi-pass/Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct/multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct_logits.json,export,37206904,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct_logits.json,4-pass BB/BS/SB/SS + 6 pairwise diffs; format_version 2; 4 records/file; runs[] per-layer stats
mi/vastai/residual-compare/residual_compare_20251126_032345_gpt2.json,export,10779980,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_032345_gpt2.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_032418_Qwen_Qwen2_5_0_5B_Instruct.json,export,23772877,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_032418_Qwen_Qwen2_5_0_5B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_032756_Qwen_Qwen2_5_1_5B_Instruct.json,export,27415130,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_032756_Qwen_Qwen2_5_1_5B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_032928_Qwen_Qwen2_5_3B_Instruct.json,export,34271909,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_032928_Qwen_Qwen2_5_3B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_033520_Qwen_Qwen2_5_7B_Instruct.json,export,26429218,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_033520_Qwen_Qwen2_5_7B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_033648_Qwen_Qwen2_5_Math_1_5B_Instruct.json,export,26118498,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_033648_Qwen_Qwen2_5_Math_1_5B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/residual_compare_20251126_033953_Qwen_Qwen2_5_Math_7B_Instruct.json,export,25924090,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\residual_compare_20251126_033953_Qwen_Qwen2_5_Math_7B_Instruct.json,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/01_gpt2_baseline.log,export,4058,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\01_gpt2_baseline.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/01_llama-3.1-8b.log,export,6139,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\01_llama-3.1-8b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/01_qwen-7b.log,export,5535,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\01_qwen-7b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/01_qwen-math-1.5b.log,export,4704,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\01_qwen-math-1.5b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/01_qwen-math-7b.log,export,5418,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\01_qwen-math-7b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/02_qwen-0.5b.log,export,4694,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\02_qwen-0.5b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/03_qwen-1.5b.log,export,4862,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\03_qwen-1.5b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/04_qwen-3b.log,export,5533,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\04_qwen-3b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/05_qwen-7b.log,export,6980,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\05_qwen-7b.log,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/gpt2_baseline.done,export,483,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\gpt2_baseline.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-0.5b.done,export,545,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-0.5b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-1.5b.done,export,560,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-1.5b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-3b.done,export,539,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-3b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-7b.done,export,539,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-7b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-math-1.5b.done,export,589,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-math-1.5b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/residual-compare/logs/qwen-math-7b.done,export,571,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\persistent\analyses\residual_compare\logs\qwen-math-7b.done,"single-pass predecessor to multi-pass, 2025-11-26"
mi/vastai/perplexity/physics_A/llama-70b/base/base/logprobs_20251130_030040_llama-70b_base_physics_A.jsonl,wire_payload,678955,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\base\base\logprobs_20251130_030040_llama-70b_base_physics_A.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/base/base/logprobs_merged.jsonl,wire_payload,678957,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\base\base\logprobs_merged.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/base/base/run_20251130_030040_llama-70b_base_physics_A.log,wire_payload,8310,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\base\base\run_20251130_030040_llama-70b_base_physics_A.log,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/base/base/summary_20251130_030040_llama-70b_base_physics_A.json,wire_payload,305,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\base\base\summary_20251130_030040_llama-70b_base_physics_A.json,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/sft/sft/logprobs_20251130_030440_llama-70b_sft_physics_A.jsonl,wire_payload,676915,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\sft\sft\logprobs_20251130_030440_llama-70b_sft_physics_A.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/sft/sft/logprobs_merged.jsonl,wire_payload,676917,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\sft\sft\logprobs_merged.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/sft/sft/run_20251130_030440_llama-70b_sft_physics_A.log,wire_payload,8309,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\sft\sft\run_20251130_030440_llama-70b_sft_physics_A.log,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-70b/sft/sft/summary_20251130_030440_llama-70b_sft_physics_A.json,wire_payload,312,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-70b\sft\sft\summary_20251130_030440_llama-70b_sft_physics_A.json,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/base/base/logprobs_20251130_025901_llama-8b_base_physics_A.jsonl,wire_payload,674707,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\base\base\logprobs_20251130_025901_llama-8b_base_physics_A.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/base/base/logprobs_merged.jsonl,wire_payload,674709,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\base\base\logprobs_merged.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/base/base/run_20251130_025901_llama-8b_base_physics_A.log,wire_payload,8309,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\base\base\run_20251130_025901_llama-8b_base_physics_A.log,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/base/base/summary_20251130_025901_llama-8b_base_physics_A.json,wire_payload,303,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\base\base\summary_20251130_025901_llama-8b_base_physics_A.json,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/sft/sft/logprobs_20251130_025952_llama-8b_sft_physics_A.jsonl,wire_payload,673807,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\sft\sft\logprobs_20251130_025952_llama-8b_sft_physics_A.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/sft/sft/logprobs_merged.jsonl,wire_payload,673809,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\sft\sft\logprobs_merged.jsonl,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/sft/sft/run_20251130_025952_llama-8b_sft_physics_A.log,wire_payload,8308,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\sft\sft\run_20251130_025952_llama-8b_sft_physics_A.log,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
mi/vastai/perplexity/physics_A/llama-8b/sft/sft/summary_20251130_025952_llama-8b_sft_physics_A.json,wire_payload,310,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Downloads\h200_outputs_perplexity\physics_A\llama-8b\sft\sft\summary_20251130_025952_llama-8b_sft_physics_A.json,per-token logprob jsonl; physics_A/B = two prose texts; base vs sft inside each
